word,phonetic_symbol
worksheet,
worth,
yeast,
yen,
yuan,
allegedly,
anytime,
arguably,
beyond,
bodily,
cheaply,
close,
collectively,
consistently,
downward,
duly,
economically,
economically,
efficiently,
enormously,
explicitly,
faithfully,
friendly,
fundamentally,
halfway,
hence,
historically,
hitherto,
hourly,
individually,
inevitably,
interestingly,
internally,
jointly,
materially,
meantime,
monopoly,
mutually,
namely,
notably,
offshore,
offshore,
onwards,
outright,
partially,
periodically,
plainly,
poorly,
predominantly,
purely,
quarterly,
quasi,
randomly,
reportedly,
respectively,
routinely,
seemingly,
silly,
sincerely,
solely,
statistically,
subsequently,
substantially,
swiftly,
thereby,
toward,
unlikely,
upward,
what,
whereby,
wherever,
wholesale,
wholly,
within,
yearly,
abuse,
abuse,
accelerate,
accommodate,
accommodate,
accrue,
activate,
adhere,
administer,
administer,
advocate,
affiliate,
affirm,
align,
allege,
allocate,
amend,
amortize,
anger,
annualize,
archive,
assault,
auction,
audit,
automate,
bail,
be,
be,
beef,
benchmark,
bolster,
bond,
boom,
bound,
boycott,
brave,
breach,
bribe,
buffer,
bug,
campaign,
capitalize,
capitalize,
cater,
caution,
censor,
centralize,
charter,
circulate,
cite,
cite,
clash,
cluster,
combat,
command,
command,
commence,
compel,
comply,
comprise,
computerize,
confer,
confer,
conflict,
conform,
confound,
conglomerate,
consent,
conserve,
consolidate,
consolidate,
constrain,
contemplate,
contend,
contend,
contrast,
converge,
converge,
convict,
coordinate,
correlate,
corrupt,
counsel,
craft,
crunch,
crunch,
crush,
curb,
customize,
damn,
decentralize,
decree,
deduct,
default,
default,
defer,
defer,
degrade,
delegate,
deliberate,
denominate,
denote,
denounce,
dent,
depict,
deploy,
depreciate,
depress,
depress,
designate,
deter,
deteriorate,
devise,
diagnose,
dictate,
dictate,
diet,
differentiate,
dilute,
diminish,
dine,
discharge,
discharge,
discharge,
disclose,
discontinue,
dismantle,
dispatch,
dispose,
dissent,
distort,
distress,
diversify,
do,
dock,
doom,
dot,
downgrade,
drift,
drill,
drill,
dub,
dub,
duplicate,
echo,
elevate,
embed,
embody,
embrace,
embrace,
emit,
empower,
enact,
encode,
encompass,
enlarge,
entail,
equate,
erase,
erode,
escort,
exaggerate,
excite,
exempt,
exert,
exhaust,
exhaust,
exile,
expire,
ferry,
finalize,
flourish,
fluctuate,
forge,
forge,
formulate,
foster,
foster,
founder,
founder,
fret,
frustrate,
gamble,
gaze,
gesture,
golf,
grasp,
grasp,
grin,
ground,
ground,
halt,
haul,
hike,
incorporate,
induce,
inhibit,
initiate,
input,
insert,
institute,
insure,
intensify,
inter,
intercept,
intern,
intervene,
intrigue,
invert,
isolate,
jail,
kidnap,
labor,
lag,
launder,
lease,
leverage,
levy,
liberalize,
liquidate,
loom,
lure,
malfunction,
mandate,
maneuver,
mar,
mask,
maximize,
mediate,
merit,
migrate,
misplace,
mitigate,
mold,
mortgage,
nail,
nail,
nap,
nationalize,
neglect,
nominate,
notify,
oblige,
offset,
omit,
opt,
optimize,
orient,
oust,
outfit,
outperform,
outrage,
outsource,
launder,
lease,
leverage,
levy,
liberalize,
liquidate,
loom,
lure,
malfunction,
mandate,
maneuver,
mar,
mask,
maximize,
mediate,
merit,
migrate,
misplace,
mitigate,
mold,
mortgage,
nail,
nail,
nap,
nationalize,
neglect,
nominate,
notify,
oblige,
offset,
omit,
opt,
optimize,
orient,
oust,
outfit,
outperform,
outrage,
outsource,
overhaul,
overlap,
oversee,
overstate,
oxidize,
pan,
pan,
patch,
patent,
peg,
peg,
petition,
photocopy,
pile,
pioneer,
pit,
plague,
pledge,
plunge,
plunge,
portray,
pose,
pose,
precipitate,
predetermine,
presume,
preview,
privatize,
prod,
profit,
prolong,
proofread,
prop,
provoke,
pump,
query,
rage,
raid,
rally,
randomize,
rank,
ratify,
ration,
reap,
reassure,
rebound,
reconcile,
reconstruct,
redeem,
redesign,
reference,
refinance,
refine,
reform,
refund,
reimburse,
rein,
reinvest,
relocate,
remedy,
,
remodel,
render,
render,
renovate,
reopen,
,
replicate,
reprint,
repurchase,
reschedule,
restate,
restrain,
restructure,
rig,
riot,
rocket,
rotate,
sacrifice,
salt,
salvage,
sample,
scrap,
seal,
secrete,
secure,
shade,
shed,
shed,
shed,
shield,
sightsee,
simulate,
situate,
slash,
slim,
slump,
,
smuggle,
sophisticate,
spark,
speculate,
speculate,
spur,
spy,
stabilize,
stack,
stake,
stall,
stall,
standardize,
streamline,
subscribe,
subsidize,
surge,
survey,
swap,
syndicate,
tag,
tailor,
terminate,
thrive,
transcribe,
trigger,
trim,
triple,
triumph,
unauthorize,
underlie,
undermine,
underpin,
undervalue,
underwrite,
unveil,
uplift,
vacuum,
verify,
vest,
veto,
void,
vow,
warrant,
weave,
withhold,
amid,
out,
pending,
pursuant,
anti,
ex,
micro,
multi,
neo,
non,
pre,
semi,
sub,
trans,
albeit,
however,
whilst,
have,
ought,
former,
own,
abdominal,
accountable,
acidic,
adaptive,
adjacent,
advisory,
aesthetic,
alert,
alternate,
alternate,
analytic,
analytical,
antibiotic,
antitrust,
any,
any,
any,
applicable,
arbitrary,
attributable,
auto,
autonomous,
averse,
bacterial,
bankrupt,
behavioral,
bilateral,
binary,
broadband,
brutal,
bureaucratic,
capital,
capital,
capital,
charitable,
chronic,
clinical,
clinical,
cognitive,
collateral,
collective,
compact,
comparable,
comparative,
complimentary,
complimentary,
composite,
conceptual,
conditional,
confidential,
congressional,
congruent,
consecutive,
constituent,
constitutional,
constructive,
continental,
contingent,
contractual,
convertible,
coronary,
corrective,
correspondent,
credible,
crude,
crude,
cumulative,
cyclic,
cyclical,
decimal,
deductible,
defective,
defensive,
deliverable,
demographic,
deputy,
desktop,
developmental,
diagnostic,
differential,
dimensional,
diplomatic,
discrete,
discretionary,
dismal,
disposable,
dissident,
folk,
fragile,
fraudulent,
generic,
grammatical,
grave,
guerrilla,
harsh,
headline,
horizontal,
hostile,
hypothetical,
ideological,
illogical,
imminent,
immune,
implicit,
inappropriate,
incomplete,
inconsistent,
incremental,
indigenous,
inefficient,
inferior,
infinite,
inflationary,
inherent,
institutional,
insurgent,
intangible,
integral,
interim,
interior,
intermediary,
intrinsic,
irrelevant,
judicial,
junk,
knowledgeable,
last,
last,
lateral,
less,
lesser,
lexical,
liable,
liable,
likewise,
linear,
linguistic,
locally,
longitudinal,
longitudinal,
macro,
macroeconomic,
magnetic,
magnetic,
mainstream,
managerial,
mandatory,
many,
marginal,
marketable,
master,
maternal,
median,
mid,
migrant,
militant,
mini,
minimal,
molecular,
monetary,
more,
morphological,
multinational,
municipal,
nationalist,
negotiable,
neither,
neural,
next,
nominal,
nominal,
nonlinear,
notable,
null,
obscure,
ongoing,
operational,
operative,
optical,
optimal,
optimum,
organizational,
other,
outdated,
outgoing,
outgoing,
outright,
overdue,
overhead,
parallel,
parallel,
paramilitary,
parliamentary,
payable,
peacekeeping,
pending,
periodic,
peripheral,
perpetual,
pharmaceutical,
phenomenal,
phonological,
photographic,
physiological,
plausible,
plural,
polar,
polar,
populist,
portable,
pragmatic,
premier,
premium,
problematic,
profound,
promotional,
prone,
prone,
proportional,
proprietary,
prospective,
provincial,
prudent,
psychiatric,
qualitative,
quantitative,
quarterly,
quasi,
radical,
radical,
random,
reactive,
realizable,
receivable,
reformist,
regardless,
regulatory,
relational,
renewable,
rental,
residual,
resistant,
respective,
restrictive,
retail,
rigid,
rigid,
rigorous,
rival,
robust,
satellite,
scarce,
scratch,
secular,
selective,
semantic,
sensory,
separatist,
skeptical,
slack,
socialist,
sole,
soluble,
soluble,
sovereign,
spacious,
spatial,
speculative,
speculative,
spontaneous,
static,
statistical,
statutory,
sterling,
sterling,
stochastic,
structural,
subjective,
subordinate,
subprime,
subsequent,
subsidiary,
such,
supervisory,
surface,
surgical,
surplus,
susceptible,
sustainable,
syntactic,
synthetic,
tactical,
tangible,
taxable,
temporal,
textile,
theoretical,
thermal,
through,
tribal,
trim,
triple,
unattended,
under,
unfavorable,
unintelligible,
unpaid,
unprecedented,
unreal,
unsecured,
unspecified,
unstable,
upcoming,
variable,
vertical,
viable,
void,
volatile,
volatile,
voluntary,
vulnerable,
wary,
which,
wholesale,
wireless,
yearly,
alas,
hello,
okay,
sorry,
sorry,
yeah,
yes,
action,
action,
action,
action,
activity,
activity,
actor,
actor,
address,
address,
address,
afternoon,
age,
age,
age,
airplane,
airport,
album,
album,
animal,
answer,
answer,
apple,
arm,
arm,
arm,
art,
art,
art,
article,
article,
article,
article,
aunt,
autumn,
baby,
bag,
ball,
ball,
band,
band,
band,
bank,
bank,
baseball,
basketball,
bat,
bat,
bath,
bathroom,
beach,
bear,
bed,
bedroom,
beef,
bell,
bicycle,
bike,
bird,
birth,
birthday,
board,
board,
board,
boat,
body,
body,
body,
bone,
book,
bookstore,
bottle,
bottom,
bowl,
box,
boy,
brain,
bread,
breakfast,
bridge,
brother,
brush,
bucket,
bus,
business,
business,
button,
café,
cake,
camera,
camp,
cap,
cap,
car,
card,
case,
case,
case,
cat,
celebration,
chair,
chair,
character,
character,
character,
cheese,
chicken,
child,
chocolate,
church,
cinema,
circle,
circle,
city,
class,
class,
class,
classroom,
clock,
cloth,
clothes,
cloud,
club,
club,
coach,
coach,
coat,
code,
code,
code,
coffee,
collection,
college,
color,
computer,
concert,
contest,
conversation,
corn,
corner,
course,
course,
course,
cousin,
cover,
cover,
cover,
cover,
cow,
cream,
culture,
culture,
cup,
cup,
cup,
dad,
date,
date,
date,
daughter,
day,
day,
desk,
desk,
dictionary,
difference,
difference,
dinner,
dish,
dish,
doctor,
doctor,
dog,
dollar,
door,
drama,
drama,
dream,
dream,
dress,
dress,
driver,
driver,
e-mail,
ear,
ear,
egg,
end,
end,
engineer,
evening,
event,
event,
example,
eye,
eye,
eye,
face,
face,
face,
face,
factory,
family,
fan,
fan,
farm,
farmer,
father,
festival,
fever,
field,
field,
field,
fight,
finish,
fire,
fire,
fire,
fish,
flag,
floor,
floor,
floor,
flower,
food,
football,
foreigner,
form,
form,
form,
friend,
fruit,
fruit,
future,
game,
game,
garbage,
garden,
ghost,
gift,
gift,
girl,
glass,
glass,
glass,
goal,
goal,
grade,
grade,
grade,
grammar,
grandmother,
grass,
group,
guest,
guitar,
guy,
habit,
hair,
half,
hall,
hall,
hat,
headache,
health,
heart,
heart,
heart,
hill,
history,
hobby,
hole,
holiday,
holiday,
home,
homework,
hope,
horse,
hospital,
hotel,
hour,
house,
husband,
ice,
ice cream,
idea,
information,
internet,
interviewer,
island,
item,
jacket,
jet,
jet,
jewelry,
job,
juice,
key,
key,
key,
key,
kid,
kind,
king,
kitchen,
knee,
knife,
lady,
language,
leader,
leaf,
leg,
lesson,
lesson,
letter,
letter,
library,
life,
life,
list,
luck,
lunch,
machine,
machine,
magazine,
magazine,
mail,
mail,
man,
man,
map,
march,
march,
match,
match,
match,
matter,
matter,
matter,
meal,
meat,
meat,
medicine,
medicine,
memory,
memory,
memory,
message,
message,
milk,
mind,
mind,
minute,
minute,
minute,
mom,
moment,
money,
monkey,
month,
moon,
morning,
message,
message,
milk,
mind,
mind,
minute,
minute,
minute,
mom,
moment,
money,
monkey,
month,
moon,
morning,
mother,
mountain,
mountain,
mouse,
mouse,
mouth,
mouth,
movie,
music,
musician,
name,
name,
neck,
neck,
neighbor,
news,
newspaper,
night,
noise,
nose,
nose,
number,
number,
number,
nurse,
office,
office,
officer,
officer,
officer,
opera,
owner,
page,
pair,
paper,
paper,
paper,
paper,
paragraph,
parent,
partner,
partner,
party,
party,
party,
peace,
pen,
pen,
people,
people,
period,
period,
period,
period,
person,
pet,
photo,
piano,
picnic,
picture,
picture,
picture,
piece,
piece,
pig,
pizza,
plane,
plane,
player,
player,
pleasure,
pocket,
poem,
pollution,
pool,
pool,
pool,
poster,
potato,
present,
present,
problem,
program,
program,
program,
quarter,
quarter,
quarter,
quarter,
radio,
rain,
rat,
reader,
reason,
reason,
reporter,
restaurant,
rice,
river,
role,
room,
room,
rose,
row,
row,
rule,
rule,
ruler,
ruler,
salad,
sale,
sale,
sale,
sandwich,
school,
school,
school,
science,
scientist,
sea,
seat,
section,
self,
sentence,
sentence,
sheep,
shelf,
ship,
shirt,
shoe,
shop,
shoulder,
shower,
shower,
side,
side,
sight,
sight,
sight,
sign,
sign,
sign,
singer,
sir,
sentence,
sentence,
sheep,
shelf,
ship,
shirt,
shoe,
shop,
shoulder,
shower,
shower,
side,
side,
sight,
sight,
sight,
sign,
sign,
sign,
singer,
sir,
sister,
sister,
site,
site,
size,
skill,
skirt,
sky,
snake,
snow,
soccer,
sofa,
son,
song,
soup,
speech,
speech,
sport,
spot,
spot,
spring,
spring,
spring,
spy,
stage,
stage,
star,
star,
start,
station,
station,
station,
stone,
store,
store,
story,
story,
street,
student,
subject,
subject,
subject,
subject,
subway,
sugar,
suggestion,
suggestion,
sum,
summer,
sun,
supermarket,
table,
table,
taxi,
tea,
teacher,
team,
technology,
telephone,
television,
tennis,
test,
test,
theater,
ticket,
tomato,
tool,
tooth,
top,
top,
topic,
towel,
tower,
town,
toy,
train,
tree,
trip,
truck,
tube,
type,
type,
umbrella,
uncle,
underline,
vacation,
vegetable,
video,
waiter,
waitress,
wall,
war,
water,
weather,
week,
weekend,
wheel,
wife,
wind,
window,
winter,
woman,
word,
work,
work,
worker,
world,
writer,
yard,
yard,
year,
zoo,
hand,
hand,
hand,
hand,
head,
head,
head,
head,
line,
line,
line,
line,
thing,
thing,
thing,
thing,
time,
time,
time,
time,
way,
way,
way,
above,
again,
ago,
almost,
alone,
alone,
already,
also,
always,
away,
before,
behind,
below,
carefully,
else,
everywhere,
here,
how,
how,
just,
just,
just,
just,
maybe,
never,
no,
not,
now,
now,
o'clock,
often,
once,
once,
once,
only,
please,
quickly,
really,
really,
soon,
then,
then,
then,
there,
there,
today,
together,
tomorrow,
tonight,
too,
too,
usually,
very,
well,
well,
well,
why,
yesterday,
yet,
yet,
yet,
add,
agree,
arrive,
ask,
ask,
become,
begin,
believe,
blow,
blow,
borrow,
breathe,
bring,
brush,
build,
buy,
carry,
catch,
celebrate,
change,
choose,
collect,
collect,
come,
come,
come,
cook,
cut,
cut,
dance,
describe,
discuss,
draw,
draw,
draw,
draw,
drink,
drop,
drop,
drop,
eat,
enjoy,
feel,
feel,
feel,
fill,
fill,
find,
find,
fly,
fly,
forget,
give,
give,
greet,
grow,
grow,
grow,
guess,
happen,
hear,
hear,
help,
help,
hide,
hurt,
hurt,
imagine,
introduce,
introduce,
join,
join,
judge,
judge,
jump,
keep,
keep,
keep,
keep,
kick,
kill,
know,
know,
laugh,
learn,
leave,
leave,
leave,
leave,
let,
like,
listen,
live,
live,
look,
look,
love,
mean,
mean,
meet,
meet,
meet,
miss,
miss,
miss,
note,
note,
laugh,
learn,
leave,
leave,
leave,
leave,
let,
like,
listen,
live,
live,
look,
look,
love,
mean,
mean,
meet,
meet,
meet,
miss,
miss,
miss,
note,
note,
paint,
pay,
phone,
pick,
pick,
pick,
play,
play,
play,
practice,
pray,
push,
read,
repeat,
ride,
save,
save,
say,
see,
see,
see,
sell,
show,
show,
sing,
sit,
sleep,
solve,
speak,
speak,
spend,
spend,
stay,
stop,
study,
swim,
talk,
teach,
tell,
tell,
thank,
think,
travel,
use,
visit,
wait,
walk,
want,
wash,
watch,
wear,
win,
write,
break,
break,
break,
break,
get,
get,
get,
get,
get,
go,
go,
go,
go,
make,
make,
make,
make,
put,
put,
put,
run,
run,
run,
run,
take,
take,
take,
take,
turn,
turn,
turn,
turn,
anybody,
anyone,
anything,
everybody,
everyone,
everything,
he,
I,
it,
it,
mine,
much,
nothing,
she,
someone,
something,
that,
that,
they,
they,
this,
we,
who,
who,
you,
yourself,
about,
about,
about,
as,
at,
at,
at,
beside,
between,
by,
by,
by,
for,
for,
for,
for,
from,
in,
in,
in,
into,
into,
of,
of,
of,
on,
on,
on,
over,
over,
over,
to,
to,
up,
with,
with,
with,
and,
and,
and,
because,
but,
but,
if,
if,
or,
or,
or,
so,
so,
than,
one,
can,
can,
can,
could,
could,
could,
may,
may,
must,
must,
should,
should,
will,
will,
will,
would,
would,
would,
a,
another,
both,
each,
every,
some,
some,
the,
afraid,
afraid,
angry,
bad,
bad,
bad,
beautiful,
big,
big,
black,
black,
blank,
blue,
blue,
bright,
bright,
brown,
busy,
busy,
careful,
clean,
clever,
cloudy,
cold,
cold,
cool,
cool,
cool,
correct,
dark,
dark,
dear,
dear,
delicious,
different,
difficult,
dirty,
foreign,
front,
full,
fun,
funny,
funny,
glad,
gray,
great,
great,
happy,
healthy,
heavy,
heavy,
high,
hot,
hot,
hot,
hungry,
ideal,
important,
large,
late,
late,
lazy,
little,
little,
long,
lovely,
lucky,
new,
nice,
off,
off,
old,
old,
open,
orange,
personal,
pink,
poor,
poor,
pretty,
quiet,
rainy,
ready,
real,
red,
rich,
rich,
rich,
sad,
same,
second,
sick,
sick,
slow,
small,
smart,
smart,
social,
social,
special,
strange,
strict,
strong,
successful,
sunny,
super,
sure,
sweet,
tall,
terrible,
thick,
thick,
thin,
tight,
TRUE,
ugly,
warm,
white,
wonderful,
wrong,
wrong,
yellow,
young,
fine,
fine,
fine,
fine,
free,
