word,ipa,source,original_ipa
conditioner,kˈˈəndɪʃənɜːr,,
conditioner,kˈˈəndɪʃənɜːr,,
conduction,kˈˈəndʌkʃən,,
configuration,kˈˈənfɪgjɜːrˈeɪʃən,,
confrontation,ˌkɑːnfrənteɪʃən,,
conglomerate,kˈˈənglɑːmɜːrət,,
congratulation,kˈˈəngrætʃəˈleɪʃən,,
congressman,ˈkɑːŋgrəsmən,,
connector,kˈˈəˈnɛktɜːr,,
connotation,ˌkɑːnəˈteɪʃən,,
consistency,kˈˈənsɪstənsi,,
consolidation,kˈˈənsɑːləˈdeɪʃən,,
consortium,"kˈˈənsɔrʃiːəm, kənsɔrʃjəm",,
conspiracy,kˈˈənspɪrəsi,,
constituency,kˈˈənstɪtʃuːənsi,,
constituency,kˈˈənstɪtʃuːənsi,,
constituent,kˈˈənstɪtʃuːənt,,
constituent,kˈˈənstɪtʃuːənt,,
constraint,kˈˈənstreɪnt,,
consultancy,kˈˈənsʌltənsi,,
consultation,ˌkɑːnsəlteɪʃən,,
contingency,kˈˈəntɪndʒənsi,,
contingent,kˈˈəntɪndʒənt,,
continuity,ˌkɑːntəˈnuːəti,,
contour,ˈkɑːntʊr,,
contour,ˈkɑːntʊr,,
contractor,ˈkɑːntræktɜːr,,
contributor,kˈˈəntrɪbjətɜːr,,
controller,kˈˈəntroʊlɜːr,,
convergence,kˈˈənvɜːrːdʒəns,,
convertible,kˈˈənvɜːrːtəbəl,,
convict,"ˈkɑːnvɪkt, kənvɪkt",,
conviction,kˈˈənvɪkʃən,,
conviction,kˈˈənvɪkʃən,,
cooperative,kˈˈoʊˈɑːpɜːrˌeɪtɪv,,
coordination,kˈˈoʊˌɔrdəˈneɪʃən,,
coordinator,kˈˈoʊˈɔrdəˌneɪtɜːr,,
copier,ˈkɑːpiːɜːr,,
cord,ˈkɔrd,,
corpus,ˈkɔrpəs,,
corpus,ˈkɔrpəs,,
correlation,ˌkɔrəˈleɪʃən,,
cortex,ˈkɔrtɛks,,
counsel,ˈkaʊnsəl,,
counsel,ˈkaʊnsəl,,
counterpart,ˈkaʊntɜːrpɑːrt,,
counterparty,ˈkaʊntɜːrpɑːrti,,
coup,ˈkuː,,
coupon,"ˈkuːˌpɔn, ˈkjuːˌpɔn",,
courier,ˈkɜːrːiːɜːr,,
covenant,ˈkʌvənənt,,
coverage,"ˈkʌvɜːrədʒ, ˈkʌvɜːrɪdʒ, ˈkʌvrɪdʒ",,
coverage,"ˈkʌvɜːrədʒ, ˈkʌvɜːrɪdʒ, ˈkʌvrɪdʒ",,
coworker,ˈkoʊˈwɜːrːkɜːr,,
credential,"krˈˈɪˈdɛnʃəl, krəˈdɛnʃəl",,
credibility,ˌkrɛdəˈbɪlɪti,,
creditor,"ˈkrɛdətɜːr, ˈkrɛdɪtɜːr",,
criteria,krˈˈaɪˈtɪriːə,,
critique,"krˈˈəˈtiːk, krɪˈtiːk",,
crunch,ˈkrʌntʃ,,
crunch,ˈkrʌntʃ,,
crystal,ˈkrɪstəl,,
crystal,ˈkrɪstəl,,
cue,ˈkjuː,,
cue,ˈkjuː,,
curb,ˈkɜːrːb,,
cylinder,"ˈsɪləndɜːr, ˈsɪlɪndɜːr",,
dare,ˈdɛr,,
debenture,dˈˈəˈbɛntʃɜːr,,
debtor,ˈdɛtɜːr,,
decimal,ˈdɛsəməl,,
decree,dˈˈɪˈkriː,,
deductible,dˈˈɪˈdʌktəbəl,,
default,dˈˈɪˈfɔlt,,
default,dˈˈɪˈfɔlt,,
defect,"ˈdiːfɛkt, dɪˈfɛkt",,
defendant,dˈˈɪˈfɛndənt,,
defensive,dˈˈɪˈfɛnsɪv,,
deflation,dˈˈɪˈfleɪʃən,,
deflection,dˈˈɪˈflɛkʃən,,
delegation,ˌdɛləˈgeɪʃən,,
delegation,ˌdɛləˈgeɪʃən,,
deliverable,"dˈˈɪˈlɪvɜːrəbəl, dɪˈlɪvrəbəl",,
delta,ˈdɛltə,,
delta,ˈdɛltə,,
demise,dˈˈɪˈmaɪz,,
demographic,ˌdɛməˈgræfɪk,,
demonstrator,ˈdɛmənstreɪtɜːr,,
demonstrator,ˈdɛmənstreɪtɜːr,,
denominator,dˈˈɪˈnɑːməˌneɪtɜːr,,
density,"ˈdɛnsəti, ˈdɛnsɪti",,
dent,ˈdɛnt,,
dependence,dˈˈɪˈpɛndəns,,
dependency,dˈˈɪˈpɛndənsi,,
dependency,dˈˈɪˈpɛndənsi,,
deployment,dˈˈɪˈplɔɪmənt,,
depositor,dˈˈəˈpɑːzɪtɜːr,,
depreciation,dˈˈɪˌpriːʃiːˈeɪʃən,,
deregulation,dˈˈiːˌrɛgjəˈleɪʃən,,
derivative,"dˈˈɜːrˈɪvətɪv, dɜːrˈɪvɪtɪv",,
derivative,"dˈˈɜːrˈɪvətɪv, dɜːrˈɪvɪtɪv",,
descendant,dˈˈɪˈsɛndənt,,
detection,dˈˈɪˈtɛkʃən,,
determinant,dˈˈɪˈtɜːrːmənənt,,
determinant,dˈˈɪˈtɜːrːmənənt,,
devaluation,"dˈˈɪˌvæljuːˈeɪʃən, ˌdiːvæljuːˈeɪʃən",,
developer,dˈˈɪˈvɛləpɜːr,,
deviation,ˌdiːviːˈeɪʃən,,
diagnosis,ˌdaɪəgnoʊsəs,,
dialect,ˈdaɪəˌlɛkt,,
dictatorship,dˈˈɪkteɪtɜːrʃɪp,,
differentiation,"dˈˈɪfɜːrˌɛnʃiːˈeɪʃən, ˌdɪfɜːrˌɛntʃiːˈeɪʃən",,
differentiation,"dˈˈɪfɜːrˌɛnʃiːˈeɪʃən, ˌdɪfɜːrˌɛntʃiːˈeɪʃən",,
diffusion,dˈˈɪˈfjuːʒən,,
digit,"ˈdɪdʒət, ˈdɪdʒɪt",,
digit,"ˈdɪdʒət, ˈdɪdʒɪt",,
diner,ˈdaɪnɜːr,,
diner,ˈdaɪnɜːr,,
dip,ˈdɪp,,
dip,ˈdɪp,,
dip,ˈdɪp,,
diplomacy,dˈˈɪˈploʊməsi,,
diplomacy,dˈˈɪˈploʊməsi,,
directive,"dˈˈɜːrˈɛktɪv, diːˈrɛktɪv, daɪˈrɛktɪv, dɪˈrɛktɪv",,
directory,"dˈˈɜːrˈɛktɜːri, daɪˈrɛktɜːri, diːˈrɛktɜːri, dɪˈrɛktɜːri",,
directory,"dˈˈɜːrˈɛktɜːri, daɪˈrɛktɜːri, diːˈrɛktɜːri, dɪˈrɛktɜːri",,
disclosure,dˈˈɪskloʊʒɜːr,,
discourse,ˈdɪskɔrs,,
discretion,dˈˈɪˈskrɛʃən,,
discretion,dˈˈɪˈskrɛʃən,,
dismissal,dˈˈɪˈsmɪsəl,,
dismissal,dˈˈɪˈsmɪsəl,,
dispatch,dˈˈɪˈspætʃ,,
dispatch,dˈˈɪˈspætʃ,,
displacement,dˈˈɪˈspleɪsmənt,,
disruption,dˈˈɪsrʌpʃən,,
dissection,"dˈˈaɪˈsɛkʃən, ˈdaɪsɛkʃən",,
dissection,"dˈˈaɪˈsɛkʃən, ˈdaɪsɛkʃən",,
dissent,dˈˈɪˈsɛnt,,
dissertation,ˌdɪsɜːrteɪʃən,,
dissolution,ˌdɪsəˈluːʃən,,
distress,dˈˈɪˈstrɛs,,
distress,dˈˈɪˈstrɛs,,
diversification,"dˈˈaɪˌvɜːrːsəfəˈkeɪʃən, dɪˌvɜːrːsəfəˈkeɪʃən",,
diversity,"dˈˈɪˈvɜːrːsɪti, daɪˈvɜːrːsɪti",,
dividend,ˈdɪvɪˌdɛnd,,
dividend,ˈdɪvɪˌdɛnd,,
doctrine,"ˈdɑːktrən, ˈdɔktɜːrɪn",,
documentation,"ˌdɑːkjəmɛnteɪʃən, ˌdɑːkjuːmɛnteɪʃən",,
domain,dˈˈoʊˈmeɪn,,
domain,dˈˈoʊˈmeɪn,,
dominance,ˈdɑːmənəns,,
domination,ˌdɑːməˈneɪʃən,,
donor,ˈdoʊnɜːr,,
downgrade,ˈdaʊngreɪd,,
downside,ˈdaʊnsaɪd,,
downtown,ˈdaʊntaʊn,,
downturn,ˈdaʊntɜːrːn,,
drawback,ˈdrɔˌbæk,,
duration,ˈdʊˈreɪʃən,,
echo,ˈɛkoʊ,,
echo,ˈɛkoʊ,,
elasticity,ˌiːˌlæˈstɪsəti,,
electorate,"ˈɪˈlɛktɜːrət, ɪˈlɛktrɪt",,
elevation,ˌɛləˈveɪʃən,,
elevation,ˌɛləˈveɪʃən,,
elimination,ˈɪˌlɪməˈneɪʃən,,
emission,ˈɪˈmɪʃən,,
empowerment,ˈɪmpaʊɜːrmənt,,
endorsement,ˈɛndɔrsmənt,,
endorsement,ˈɛndɔrsmənt,,
endowment,ˈɛndaʊmənt,,
endowment,ˈɛndaʊmənt,,
enforcement,ˈɛnfɔrsmənt,,
enhancement,ˈɛnˈhænsmənt,,
enlargement,ˌɛnlɑːrdʒmənt,,
entity,"ˈɛntəti, ˈɛntɪti",,
entrant,ˈɛntrənt,,
enzyme,ˈɛnzaɪm,,
epidemiology,ˌɛpəˌdɛmiːˈɑːlədʒi,,
equilibrium,ˌiːkwəˈlɪbriːəm,,
equivalence,ˈɪˈkwɪvələns,,
escort,"ˈɛˈskɔrt, ˈɛskɔrt",,
estimation,ˌɛstəˈmeɪʃən,,
estimation,ˌɛstəˈmeɪʃən,,
ethanol,ˈɛθəˌnɔl,,
ethics,ˈɛθɪks,,
exemption,ˈɪgzɛmpʃən,,
expectancy,ˈɪkspɛktənsi,,
expenditure,"ˈɪkspɛndətʃɜːr, ɪkspɛndɪtʃɜːr",,
expertise,ˌɛkspɜːrtiːz,,
expiration,ˌɛkspɜːrˈeɪʃən,,
expiration,ˌɛkspɜːrˈeɪʃən,,
exporter,ˈɪkspɔrtɜːr,,
exposure,ˈɪkspoʊʒɜːr,,
exposure,ˈɪkspoʊʒɜːr,,
exposure,ˈɪkspoʊʒɜːr,,
extremist,ˈɪkstriːmɪst,,
facet,ˈfæsət,,
faction,ˈfækʃən,,
fairness,ˈfɛrnəs,,
fatigue,fˈˈəˈtiːg,,
fertility,"fˈˈɜːrtɪləti, fɜːrtɪlɪti",,
fiduciary,fˈˈəˈduːʃiːˌɛri,,
fin,ˈfɪn,,
flotation,flˈˈoʊˈteɪʃən,,
fluctuation,ˌfləktʃuːˈeɪʃən,,
fluid,"ˈfluːəd, ˈfluːɪd",,
flux,ˈflʌks,,
flyer,ˈflaɪɜːr,,
forecaster,ˈfɔrkæstɜːr,,
formulation,"ˌfɔrmjəˈleɪʃən, ˌfɔrmjuːˈleɪʃən",,
forum,ˈfɔrəm,,
fossil,ˈfɑːsəl,,
founder,ˈfaʊndɜːr,,
fraction,ˈfrækʃən,,
fraction,ˈfrækʃən,,
fracture,"ˈfræktʃɜːr, ˈfrækʃɜːr",,
framework,ˈfreɪmwɜːrːk,,
franc,ˈfræŋk,,
franchise,ˈfræntʃaɪz,,
franchise,ˈfræntʃaɪz,,
freight,ˈfreɪt,,
friction,ˈfrɪkʃən,,
friction,ˈfrɪkʃən,,
fringe,ˈfrɪndʒ,,
fringe,ˈfrɪndʒ,,
fungus,ˈfʌŋgəs,,
fusion,ˈfjuːʒən,,
gamble,ˈgæmbəl,,
gasoline,ˈgæsəˌliːn,,
gauge,ˈgeɪdʒ,,
gay,ˈgeɪ,,
generator,ˈdʒɛnɜːrˌeɪtɜːr,,
genocide,ˈdʒɛnəˌsaɪd,,
globalization,ˌgloʊbəlɪˈzeɪʃən,,
goodness,"ˈgʊdnəs, ˈgʊdnɪs",,
governance,ˈgʌvɜːrnəns,,
gradient,ˈgreɪdiːənt,,
graphic,ˈgræfɪk,,
gravity,"ˈgrævəti, ˈgrævɪti",,
gravity,"ˈgrævəti, ˈgrævɪti",,
grid,ˈgrɪd,,
grid,ˈgrɪd,,
grocery,"ˈgroʊsɜːri, ˈgroʊsri",,
grocery,"ˈgroʊsɜːri, ˈgroʊsri",,
gut,ˈgʌt,,
gut,ˈgʌt,,
halt,ˈhɔlt,,
handful,ˈhændfʊl,,
handset,ˈhændsɛt,,
haul,ˈhɔl,,
hawk,ˈhɔk,,
headquarter,"ˈhɛdkwɔrtɜːr, ˈhɛdkɔrtɜːr",,
healthcare,ˈhɛlθkɛr,,
heir,ˈɛr,,
helix,ˈhiːlɪks,,
hepatitis,ˌhɛpəˈtaɪtəs,,
herbicide,"ˈhɜːrːbɪˌsaɪd, ˈɜːrːbɪˌsaɪd",,
hierarchy,"ˈhaɪɜːrˌɑːrki, ˈhaɪˌrɑːrki",,
histogram,ˈhɪstəˌgræm,,
homeowner,ˈhoʊˌmoʊnɜːr,,
hormone,ˈhɔrmoʊn,,
hostility,hˈˈɑːˈstɪləti,,
hub,ˈhʌb,,
hurdle,ˈhɜːrːdəl,,
hybrid,"ˈhaɪbrəd, ˈhaɪbrɪd",,
hydrogen,ˈhaɪdrədʒən,,
hypothesis,hˈˈaɪˈpɑːθəsəs,,
illusion,ˌɪˈluːʒən,,
imbalance,ˈɪmbæləns,,
impairment,ˌɪmpɛrmənt,,
implementation,ˌɪmpləmɛnteɪʃən,,
importer,ˌɪmpɔrtɜːr,,
inability,ˌɪnəˈbɪlɪti,,
incidence,"ˈɪnsədəns, ˈɪnsɪdəns",,
incline,"ˌɪnklaɪn, ˈɪnklaɪn",,
inclusion,ˌɪnkluːʒən,,
inconvenience,ˌɪnkənviːnjəns,,
incorporation,ˌɪnkɔrpɜːrˈeɪʃən,,
incumbent,ˌɪnkʌmbənt,,
indication,ˌɪndəˈkeɪʃən,,
indicator,ˈɪndəˌkeɪtɜːr,,
indifference,"ˌɪndɪfɜːrəns, ˌɪndɪfrəns",,
induction,ˌɪndʌkʃən,,
induction,ˌɪndʌkʃən,,
industrialization,ˌɪndəstriːəlɪˈzeɪʃən,,
inefficiency,ˌɪnɪˈfɪʃənsi,,
inequality,"ˌɪnɪˈkwɑːləti, ˌɪnəˈkwɑːləti, ˈɪniːˈkwɑːləti",,
inexperience,ˌɪnɪkspɪriːəns,,
infinity,ˌɪnfɪnɪti,,
inflow,ˈɪnfloʊ,,
info,ˈɪnfoʊ,,
infrastructure,ˌɪnfrəˈstrʌktʃɜːr,,
inhibition,"ˌɪnhəˈbɪʃən, ˌɪnəˈbɪʃən",,
initiation,ˌɪˌnɪʃiːˈeɪʃən,,
insider,ˌɪnsaɪdɜːr,,
instability,ˌɪnstəˈbɪlɪti,,
installation,ˌɪnstəˈleɪʃən,,
installation,ˌɪnstəˈleɪʃən,,
installment,ˌɪnstɔlmənt,,
instant,ˈɪnstənt,,
insurer,ˌɪnʃʊrɜːr,,
insurgency,ˌɪnsɜːrːdʒənsi,,
insurgent,ˌɪnsɜːrːdʒənt,,
intangible,ˌɪntændʒəbəl,,
integration,"ˌɪntəˈgreɪʃən, ˌɪnəˈgreɪʃən",,
integrity,ˌɪntɛgrəti,,
integrity,ˌɪntɛgrəti,,
intensity,ˌɪntɛnsɪti,,
intent,ˌɪntɛnt,,
intercept,"ˌɪntɜːrsɛpt, ˌɪnɜːrsɛpt",,
intercept,"ˌɪntɜːrsɛpt, ˌɪnɜːrsɛpt",,
interface,"ˈɪntɜːrfeɪs, ˈɪnɜːrfeɪs",,
interference,"ˌɪntɜːrfɪrəns, ˌɪnɜːrfɪrəns",,
interim,"ˈɪntɜːrəm, ˈɪntrəm, ˈɪnɜːrəm",,
intermediary,"ˌɪnɜːrmiːdiːɛri, ˌɪntɜːrmiːdiːɛri",,
intern,ˈɪntɜːrn,,
internship,ˈɪntɜːrnʃɪp,,
intervention,ˌɪntɜːrvɛnʃən,,
intrigue,"ˌɪntriːg, ˈɪntriːg",,
inventory,ˌɪnvəntɔri,,
inversion,ˌɪnvɜːrːʒən,,
invoice,ˈɪnvɔɪs,,
ion,"ˈaɪˌɑːn, ˈaɪən",,
irrigation,ˌɪrəˈgeɪʃən,,
issuance,ˈɪʃuːəns,,
issuer,ˈɪʃuːɜːr,,
itinerary,ˈaɪˈtɪnɜːrˌɛri,,
jurisdiction,"ˌdʒʊrəsdɪkʃən, ˌdʒʊrɪsdɪkʃən",,
justification,ˌdʒəstəfəˈkeɪʃən,,
kidney,ˈkɪdni,,
lag,ˈlæg,,
layout,ˈleɪˌaʊt,,
ledger,ˈlɛdʒɜːr,,
legacy,ˈlɛgəsi,,
legitimacy,"lˈˈəˈdʒɪtəməsi, lɪˈdʒɪtəməsi",,
lender,ˈlɛndɜːr,,
lessee,lˈˈɛˈsiː,,
lessor,ˈlɛsɜːr,,
lever,"ˈlɛvɜːr, ˈliːvɜːr",,
leverage,"ˈlɛvɜːrɪdʒ, ˈlɛvrədʒ, ˈliːvɜːrɪdʒ",,
levy,"ˈlɛvi, ˈliːvi",,
liability,ˌlaɪəˈbɪlɪti,,
liability,ˌlaɪəˈbɪlɪti,,
liberalization,ˌlɪˌbɜːrːəlɪˈzeɪʃən,,
license,ˈlaɪsəns,,
likelihood,ˈlaɪkliːˌhʊd,,
linguistics,lˈˈɪŋˈgwɪstɪks,,
liquidation,ˌlɪkwɪˈdeɪʃən,,
liquidity,"lˈˈɪˈkwɪdəti, lɪˈkwɪdɪti",,
litigation,ˌlɪtəˈgeɪʃən,,
locus,ˈloʊkəs,,
logistics,lˈˈəˈdʒɪstɪks,,
loop,ˈluːp,,
loser,ˈluːzɜːr,,
lounge,ˈlaʊndʒ,,
lump,ˈlʌmp,,
luncheon,ˈlʌntʃən,,
lure,ˈlʊr,,
lure,ˈlʊr,,
machinery,"mˈˈəˈʃiːnɜːri, məˈʃiːnri",,
machinery,"mˈˈəˈʃiːnɜːri, məˈʃiːnri",,
macro,ˈmækroʊ,,
macroeconomics,"ˌmækroʊɛkəˈnɑːmɪks, ˌmækroʊiːkəˈnɑːmɪks",,
magnitude,ˈmægnəˌtuːd,,
magnitude,ˈmægnəˌtuːd,,
mainland,"ˈmeɪnlænd, ˈmeɪnlənd",,
mainstream,ˈmeɪnstriːm,,
malfunction,mˈˈælfʌŋkʃən,,
mandate,ˈmændeɪt,,
mandate,ˈmændeɪt,,
maneuver,mˈˈəˈnuːvɜːr,,
maneuver,mˈˈəˈnuːvɜːr,,
maneuver,mˈˈəˈnuːvɜːr,,
manipulation,mˈˈəˌnɪpjəˈleɪʃən,,
manipulation,mˈˈəˌnɪpjəˈleɪʃən,,
manuscript,ˈmænjəˌskrɪpt,,
manuscript,ˈmænjəˌskrɪpt,,
marker,ˈmɑːrkɜːr,,
marker,ˈmɑːrkɜːr,,
marketer,ˈmɑːrkətɜːr,,
marketplace,"ˈmɑːrkətpleɪs, ˈmɑːrkɪtpleɪs",,
marketplace,"ˈmɑːrkətpleɪs, ˈmɑːrkɪtpleɪs",,
marrow,ˈmɛroʊ,,
matrix,ˈmeɪtrɪks,,
matrix,ˈmeɪtrɪks,,
maturity,"mˈˈəˈtʃʊrəti, mətjʊrɪti",,
maturity,"mˈˈəˈtʃʊrəti, mətjʊrɪti",,
maximization,ˌmæksɪmɪˈzeɪʃən,,
meantime,ˈmiːntaɪm,,
mechanism,ˈmɛkəˌnɪzəm,,
mechanism,ˈmɛkəˌnɪzəm,,
median,ˈmiːdiːən,,
median,ˈmiːdiːən,,
membrane,ˈmɛmbreɪn,,
memo,ˈmɛˌmoʊ,,
memorandum,ˌmɛmɜːrˈændəm,,
mercury,ˈmɜːrːkjɜːri,,
mercury,ˈmɜːrːkjɜːri,,
merit,ˈmɛrət,,
metabolism,mˈˈəˈtæbəˌlɪzəm,,
methodology,ˌmɛθəˈdɑːlədʒi,,
metric,ˈmɛtrɪk,,
migrant,ˈmaɪgrənt,,
