word,original_ipa,normalized_ipa,changes_count,changes_detail
.DOT,ˈdɑːt,ˈdɑːt,0,
.FULL-STOP,ˈfʊlˈstɑːp,ˈfʊl ˈstɑːp,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
.PERIOD,ˈpɪriːəd,ˈpɪriːəd,0,
.POINT,ˈpɔɪnt,ˈpɔɪnt,0,
/SLASH,ˈslæʃ,ˈslæʃ,0,
3-D,ˈθriːˌdiː,ˈθriːˌdiː,0,
3D,ˈθriːˌdiː,ˈθriːˌdiː,0,
:COLON,ˈkoʊlən,ˈkoʊlən,0,
;SEMI-COLON,"ˈsɛmiːˈkoʊlən, ˈsɛmɪˌkoʊlən","ˈsɛmiː ˈkoʊlən, ˈsɛmɪˌkoʊlən",3,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1; ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2"
?QUESTION-MARK,ˈkwɛstʃənˈmɑːrk,ˈkwɛstʃən ˈmɑːrk,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
A,"ə, ˈeɪ","ə, ˈeɪ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
A'S,ˈeɪz,ˈeɪz,0,
A.,ˈeɪ,ˈeɪ,0,
A.'S,ˈeɪz,ˈeɪz,0,
A.S,ˈeɪz,ˈeɪz,0,
A42128,ˈeɪˈfɔrˈtuːˈwʌnˈtuːˈeɪt,ˈeɪ ˈfɔrˈtuː ˈwʌnˈtuː ˈeɪt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
AA,ˌeɪˈeɪ,ˌeɪˈeɪ,0,
AAA,ˌtrɪpəˈleɪ,ˌtrɪpəˈleɪ,0,
AABERG,ˈɑːbɝg,ˈɑːbɝg,0,
AACHEN,ˈɑːkən,ˈɑːkən,0,
AACHENER,ˈɑːkənɝ,ˈɑːkənɝ,0,
AAH,ˈɑː,ˈɑː,0,
AAKER,ˈɑːkɝ,ˈɑːkɝ,0,
AALIYAH,ˌɑːˈliːˌɑː,ˌɑːˈliːˌɑː,0,
AALSETH,ˈɑːlsɛθ,ˈɑːlsɛθ,0,
AAMODT,ˈɑːmət,ˈɑːmət,0,
AANCOR,ˈɑːnˌkɔr,ˈɑːnˌkɔɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
AARDEMA,ɑːrˈdɛmə,ɑːrˈdɛmə,0,
AARDVARK,ˈɑːrdˌvɑːrk,ˈɑːrdˌvɑːrk,0,
AARDVARKS,ˈɑːrdˌvɑːrks,ˈɑːrdˌvɑːrks,0,
AARGH,ˈɑːrg,ˈɑːrg,0,
AARON,ˈɛrən,ˈɛrən,0,
AARON'S,ˈɛrənz,ˈɛrənz,0,
AARONS,ˈɛrənz,ˈɛrənz,0,
AARONSON,"ˈɛrənsən, ˈɑːrənsən","ˈɛrənsən, ˈɑːrənsən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
AARONSON'S,"ˈɛrənsənz, ˈɑːrənsənz","ˈɛrənsənz, ˈɑːrənsənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
AARTI,ˈɑːrˌtiː,ˈɑːrˌtiː,0,
AASE,ˈɑːs,ˈɑːs,0,
AASEN,ˈɑːsən,ˈɑːsən,0,
AB,ˈæb,ˈæb,0,
ABA,ˌeɪˌbiːˈeɪ,ˌeɪˌbiːˈeɪ,0,
ABABA,"əˈbɑːbə, ˈɑːbəbə","əˈbɑːbə, ˈɑːbəbə",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABACHA,ˈæbəkə,ˈæbəkə,0,
ABACK,əˈbæk,əˈbæk,0,
ABACO,ˈæbəˌkoʊ,ˈæbəˌkoʊ,0,
ABACUS,ˈæbəkəs,ˈæbəkəs,0,
ABAD,əˈbɑːd,əˈbɑːd,0,
ABADAKA,əˈbædəkə,əˈbædəkə,0,
ABADI,əˈbædi,əˈbædi,0,
ABADIE,əˈbædi,əˈbædi,0,
ABAIR,əˈbɛr,əˈbɛɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
ABALKIN,əˈbɑːlkɪn,əˈbɑːlkɪn,0,
ABALONE,ˌæbəˈloʊni,ˌæbəˈloʊni,0,
ABALONES,ˌæbəˈloʊniːz,ˌæbəˈloʊniːz,0,
ABALOS,ɑːˈbɑːloʊz,ɑːˈbɑːloʊz,0,
ABANDON,əˈbændən,əˈbændən,0,
ABANDONED,əˈbændənd,əˈbændənd,0,
ABANDONING,əˈbændənɪŋ,əˈbændənɪŋ,0,
ABANDONMENT,əˈbændənmənt,əˈbændənmənt,0,
ABANDONMENTS,əˈbændənmənts,əˈbændənmənts,0,
ABANDONS,əˈbændənz,əˈbændənz,0,
ABANTO,əˈbæntoʊ,əˈbæntoʊ,0,
ABARCA,əˈbɑːrkə,əˈbɑːrkə,0,
ABARE,ɑːˈbɑːri,ɑːˈbɑːri,0,
ABASCAL,ˈæbəskəl,ˈæbəskəl,0,
ABASH,əˈbæʃ,əˈbæʃ,0,
ABASHED,əˈbæʃt,əˈbæʃt,0,
ABASIA,əˈbeɪʒjə,əˈbeɪʒjə,0,
ABATE,əˈbeɪt,əˈbeɪt,0,
ABATED,əˈbeɪtɪd,əˈbeɪtɪd,0,
ABATEMENT,əˈbeɪtmənt,əˈbeɪtmənt,0,
ABATEMENTS,əˈbeɪtmənts,əˈbeɪtmənts,0,
ABATES,əˈbeɪts,əˈbeɪts,0,
ABATING,əˈbeɪtɪŋ,əˈbeɪtɪŋ,0,
ABBA,ˈæbə,ˈæbə,0,
ABBADO,əˈbɑːdoʊ,əˈbɑːdoʊ,0,
ABBAS,əˈbɑːs,əˈbɑːs,0,
ABBASI,ɑːˈbɑːsi,ɑːˈbɑːsi,0,
ABBATE,ˈɑːbeɪt,ˈɑːbeɪt,0,
ABBATIELLO,ɑːbɑːtiːˈɛloʊ,ɑːbɑːtiːˈɛloʊ,0,
ABBE,"ˈæbi, æˈbeɪ","ˈæbi, æˈbeɪ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABBENHAUS,ˈæbənˌhaʊs,ˈæbənˌhaʊs,0,
ABBETT,əˈbɛt,əˈbɛt,0,
ABBEVILLE,ˈæbvɪl,ˈæbvɪl,0,
ABBEY,ˈæbi,ˈæbi,0,
ABBEY'S,ˈæbiːz,ˈæbiːz,0,
ABBIE,ˈæbi,ˈæbi,0,
ABBITT,ˈæbɪt,ˈæbɪt,0,
ABBOT,ˈæbət,ˈæbət,0,
ABBOTSTOWN,ˈæbətˈstaʊn,ˈæbət ˈstaʊn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
ABBOTT,ˈæbət,ˈæbət,0,
ABBOTT'S,ˈæbəts,ˈæbəts,0,
ABBOTTSTOWN,ˈæbətˈstaʊn,ˈæbət ˈstaʊn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
ABBOUD,"əˈbuːd, əˈbaʊd","əˈbuːd, əˈbaʊd",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABBREVIATE,əˈbriːviːˌeɪt,əˈbriːviːˌeɪt,0,
ABBREVIATED,əˈbriːviːˌeɪtɪd,əˈbriːviːˌeɪtɪd,0,
ABBREVIATES,əˈbriːviːˌeɪts,əˈbriːviːˌeɪts,0,
ABBREVIATING,əˈbriːviːˌeɪtɪŋ,əˈbriːviːˌeɪtɪŋ,0,
ABBREVIATION,əˌbriːviːˈeɪʃən,əˌbriːviːˈeɪʃən,0,
ABBREVIATIONS,əˌbriːviːˈeɪʃənz,əˌbriːviːˈeɪʃənz,0,
ABBRUZZESE,ɑːbruːtˈseɪzi,ɑːbruːtˈseɪzi,0,
ABBS,ˈæbz,ˈæbz,0,
ABBY,ˈæbi,ˈæbi,0,
ABC,ˈeɪˌbiːˌsiː,ˈeɪˌbiːˌsiː,0,
ABC'S,ˈeɪˌbiːˌsiːz,ˈeɪˌbiːˌsiːz,0,
ABCO,ˈæbkoʊ,ˈæbkoʊ,0,
ABCOTEK,ˈæbkoʊˌtɛk,ˈæbkoʊˌtɛk,0,
ABCS,ˈeɪˌbiːˌsiːz,ˈeɪˌbiːˌsiːz,0,
ABDALLA,ˌæbˈdælə,ˌæbˈdælə,0,
ABDALLAH,ˌæbˈdælə,ˌæbˈdælə,0,
ABDEL,ˈæbˌdɛl,ˈæbˌdɛl,0,
ABDELLA,ˌæbˈdɛlə,ˌæbˈdɛlə,0,
ABDICATE,ˈæbdəˌkeɪt,ˈæbdəˌkeɪt,0,
ABDICATED,ˈæbdəˌkeɪtəd,ˈæbdəˌkeɪtəd,0,
ABDICATES,ˈæbdəˌkeɪts,ˈæbdəˌkeɪts,0,
ABDICATING,ˈæbdɪˌkeɪtɪŋ,ˈæbdɪˌkeɪtɪŋ,0,
ABDICATION,ˌæbdɪˈkeɪʃən,ˌæbdɪˈkeɪʃən,0,
ABDNOR,ˈæbdnɝ,ˈæbdnɝ,0,
ABDO,ˈæbdoʊ,ˈæbdoʊ,0,
ABDOLLAH,ˌæbˈdɑːlə,ˌæbˈdɑːlə,0,
ABDOMEN,"æbˈdoʊmən, ˈæbdəmən","æbˈdoʊmən, ˈæbdəmən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDOMINAL,"æbˈdɑːmənəl, əbˈdɑːmənəl","æbˈdɑːmənəl, əbˈdɑːmənəl",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCT,æbˈdʌkt,æbˈdʌkt,0,
ABDUCTED,"æbˈdʌktɪd, əbˈdʌktɪd","æbˈdʌktɪd, əbˈdʌktɪd",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTEE,æbˌdəkˈtiː,æbˌdəkˈtiː,0,
ABDUCTEES,æbˌdəkˈtiːz,æbˌdəkˈtiːz,0,
ABDUCTING,"æbˈdʌktɪŋ, əbˈdʌktɪŋ","æbˈdʌktɪŋ, əbˈdʌktɪŋ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTION,"æbˈdʌkʃən, əbˈdʌkʃən","æbˈdʌkʃən, əbˈdʌkʃən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTIONS,"æbˈdʌkʃənz, əbˈdʌkʃənz","æbˈdʌkʃənz, əbˈdʌkʃənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTOR,"æbˈdʌktɝ, əbˈdʌktɝ","æbˈdʌktɝ, əbˈdʌktɝ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTORS,"æbˈdʌktɝz, əbˈdʌktɝz","æbˈdʌktɝz, əbˈdʌktɝz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABDUCTS,æbˈdʌkts,æbˈdʌkts,0,
ABDUL,æbˈduːl,æbˈduːl,0,
ABDULAZIZ,æbˌduːləˈziːz,æbˌduːləˈziːz,0,
ABDULLA,ɑːbˈduːlə,ɑːbˈduːlə,0,
ABDULLAH,ˌæbˈdʌlə,ˌæbˈdʌlə,0,
ABE,ˈeɪb,ˈeɪb,0,
ABED,əˈbɛd,əˈbɛd,0,
ABEDI,əˈbɛdi,əˈbɛdi,0,
ABEE,əˈbiː,əˈbiː,0,
ABEL,ˈeɪbəl,ˈeɪbəl,0,
ABELA,ɑːˈbɛlə,ɑːˈbɛlə,0,
ABELARD,ˈæbɪlɝd,ˈæbɪlɝd,0,
ABELE,əˈbɛl,əˈbɛl,0,
ABELES,"əˈbɛlz, ˈeɪbəˌliːz","əˈbɛlz, ˈeɪbəˌliːz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABELL,ˈeɪbəl,ˈeɪbəl,0,
ABELLA,əˈbɛlə,əˈbɛlə,0,
ABELN,ˈæbɪln,ˈæbɪln,0,
ABELOW,ˈæbəloʊ,ˈæbəloʊ,0,
ABELS,ˈeɪbəlz,ˈeɪbəlz,0,
ABELSON,ˈæbɪlsən,ˈæbɪlsən,0,
ABEND,"ˈæbɛnd, əˈbɛnd","ˈæbɛnd, əˈbɛnd",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABENDROTH,ˈæbɪndrɔθ,ˈæbɪndrɔθ,0,
ABER,ˈeɪbɝ,ˈeɪbɝ,0,
ABERCROMBIE,ˌæbɝˈkrɑːmbi,ˌæbɝˈkrɑːmbi,0,
ABERDEEN,ˈæbɝˌdiːn,ˈæbɝˌdiːn,0,
ABERFORD,ˈeɪbɝfɝd,ˈeɪbɝfɝd,0,
ABERG,ˈæbɝg,ˈæbɝg,0,
ABERLE,"ˈæbɝəl, ˈæbɝl","ˈæbɝəl, ˈæbɝl",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABERMIN,ˈæbɝmɪn,ˈæbɝmɪn,0,
ABERNATHY,ˈæbɝˌnæθi,ˈæbɝˌnæθi,0,
ABERNETHY,ˈæbɝˌnɛθi,ˈæbɝˌnɛθi,0,
ABERRANT,æˈbɛrənt,æˈbɛrənt,0,
ABERRATION,ˌæbɝˈeɪʃən,ˌæbɝˈeɪʃən,0,
ABERRATIONAL,ˌæbɝˈeɪʃənəl,ˌæbɝˈeɪʃənəl,0,
ABERRATIONS,ˌæbɝˈeɪʃənz,ˌæbɝˈeɪʃənz,0,
ABERT,ˈæbɝt,ˈæbɝt,0,
ABET,əˈbɛt,əˈbɛt,0,
ABETTED,əˈbɛtɪd,əˈbɛtɪd,0,
ABETTING,əˈbɛtɪŋ,əˈbɛtɪŋ,0,
ABEX,ˈeɪbɛks,ˈeɪbɛks,0,
ABEYANCE,əˈbeɪəns,əˈbeɪəns,0,
ABEYTA,ɑːˈbeɪtə,ɑːˈbeɪtə,0,
ABHOR,æbˈhɔr,æbˈhɔɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
ABHORRED,əbˈhɔrd,əbˈhɔrd,0,
ABHORRENCE,əbˈhɔrəns,əbˈhɔrəns,0,
ABHORRENT,æbˈhɔrənt,æbˈhɔrənt,0,
ABHORS,əbˈhɔrz,əbˈhɔrz,0,
ABIAM,ˈeɪbiːəm,ˈeɪbiːəm,0,
ABIAM'S,ˈeɪbiːəmz,ˈeɪbiːəmz,0,
ABID,ˈeɪbɪd,ˈeɪbɪd,0,
ABIDE,əˈbaɪd,əˈbaɪd,0,
ABIDED,əˈbaɪdɪd,əˈbaɪdɪd,0,
ABIDES,əˈbaɪdz,əˈbaɪdz,0,
ABIDING,əˈbaɪdɪŋ,əˈbaɪdɪŋ,0,
ABIDJAN,æbɪˈdʒɑːn,æbɪˈdʒɑːn,0,
ABIE,ˈæbi,ˈæbi,0,
ABIGAIL,ˈæbəˌgeɪl,ˈæbəˌgeɪl,0,
ABILA,ɑːˈbiːlə,ɑːˈbiːlə,0,
ABILENE,ˈæbɪˌliːn,ˈæbɪˌliːn,0,
ABILITIES,əˈbɪləˌtiːz,əˈbɪləˌtiːz,0,
ABILITY,əˈbɪləˌtiː,əˈbɪləˌtiː,0,
ABIMAEL,ˌæbɪˈmeɪl,ˌæbɪˈmeɪl,0,
ABIMAELS,ˌæbɪˈmeɪlz,ˌæbɪˈmeɪlz,0,
ABINGDON,ˈæbɪŋdən,ˈæbɪŋdən,0,
ABINGTON,ˈæbɪŋtən,ˈæbɪŋtən,0,
ABIO,ˈɑːbiːoʊ,ˈɑːbiːoʊ,0,
ABIOLA,ˌɑːbiːˈoʊlə,ˌɑːbiːˈoʊlə,0,
ABIOLA'S,ˌɑːbiːˈoʊləz,ˌɑːbiːˈoʊləz,0,
ABIOMED,eɪˈbiːəmɛd,eɪˈbiːəmɛd,0,
ABIQUIU,əˈbɪkjuː,əˈbɪkjuː,0,
ABITIBI,ˌæbɪˈtiːbi,ˌæbɪˈtiːbi,0,
ABITZ,ˈæbɪts,ˈæbɪts,0,
ABJECT,ˈæbdʒɛkt,ˈæbdʒɛkt,0,
ABKHAZIA,"æbˈkɑːzjə, æbˈkæzjə","æbˈkɑːzjə, æbˈkæzjə",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABKHAZIAN,"æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən","æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABKHAZIANS,"æbˈkɑːziːənz, æbˈkæziːənz","æbˈkɑːziːənz, æbˈkæziːənz",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLAZE,əˈbleɪz,əˈbleɪz,0,
ABLE,ˈeɪbəl,ˈeɪbəl,0,
ABLE-BODIED,ˈeɪbəlˈbɑːdiːd,ˈeɪbəl ˈbɑːdiːd,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
ABLED,ˈeɪbəld,ˈeɪbəld,0,
ABLER,"ˈeɪbəlɝ, ˈeɪblɝ","ˈeɪbəlɝ, ˈeɪblɝ",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLES,ˈeɪbəlz,ˈeɪbəlz,0,
ABLEST,"ˈeɪbəlst, ˈeɪbləst","ˈeɪbəlst, ˈeɪbləst",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABLOOM,əˈbluːm,əˈbluːm,0,
ABLY,ˈeɪbli,ˈeɪbli,0,
ABNEGATION,ˌæbnɛˈgeɪʃən,ˌæbnɛˈgeɪʃən,0,
ABNER,ˈæbnɝ,ˈæbnɝ,0,
ABNEY,ˈæbni,ˈæbni,0,
ABNORMAL,æbˈnɔrməl,æbˈnɔrməl,0,
ABNORMALITIES,ˌæbnɔrˈmælətiːz,ˌæbnɔrˈmælətiːz,0,
ABNORMALITY,ˌæbnɔrˈmæləti,ˌæbnɔrˈmæləti,0,
ABNORMALLY,æbˈnɔrməli,æbˈnɔrməli,0,
ABO,ˈɑːboʊ,ˈɑːboʊ,0,
ABO'S,ˈɑːboʊz,ˈɑːboʊz,0,
ABOARD,əˈbɔrd,əˈbɔrd,0,
ABODE,əˈboʊd,əˈboʊd,0,
ABOHALIMA,æbəhəˈliːmə,æbəhəˈliːmə,0,
ABOLISH,əˈbɑːlɪʃ,əˈbɑːlɪʃ,0,
ABOLISHED,əˈbɑːlɪʃt,əˈbɑːlɪʃt,0,
ABOLISHES,əˈbɑːlɪʃɪz,əˈbɑːlɪʃɪz,0,
ABOLISHING,əˈbɑːlɪʃɪŋ,əˈbɑːlɪʃɪŋ,0,
ABOLITION,ˌæbəˈlɪʃən,ˌæbəˈlɪʃən,0,
ABOLITIONISM,ˌæbəˈlɪʃəˌnɪzəm,ˌæbəˈlɪʃəˌnɪzəm,0,
ABOLITIONIST,ˌæbəˈlɪʃənəst,ˌæbəˈlɪʃənəst,0,
ABOLITIONISTS,"ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs","ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABOMINABLE,əˈbɑːmənəbəl,əˈbɑːmənəbəl,0,
ABOMINATION,əˌbɑːməˈneɪʃən,əˌbɑːməˈneɪʃən,0,
ABOMINATIONS,əˌbɑːməˈneɪʃənz,əˌbɑːməˈneɪʃənz,0,
ABOOD,əˈbuːd,əˈbuːd,0,
ABOODI,əˈbuːdi,əˈbuːdi,0,
ABOR,əˈbɔr,əˈbɔɹ,1,ルール13: ([aeiouəɪɛɔɑɜɝɪu])+r\b -> \1ɹ
ABORIGINAL,ˌæbɝˈɪdʒənəl,ˌæbɝˈɪdʒənəl,0,
ABORIGINE,ˌæbɝˈɪdʒəni,ˌæbɝˈɪdʒəni,0,
ABORIGINES,ˌæbɝˈɪdʒəniːz,ˌæbɝˈɪdʒəniːz,0,
ABORN,əˈbɔrn,əˈbɔrn,0,
ABORT,əˈbɔrt,əˈbɔrt,0,
ABORTED,əˈbɔrtɪd,əˈbɔrtɪd,0,
ABORTIFACIENT,əˌbɔrtəˈfeɪʃənt,əˌbɔrtəˈfeɪʃənt,0,
ABORTIFACIENTS,əˌbɔrtəˈfeɪʃənts,əˌbɔrtəˈfeɪʃənts,0,
ABORTING,əˈbɔrtɪŋ,əˈbɔrtɪŋ,0,
ABORTION,əˈbɔrʃən,əˈbɔrʃən,0,
ABORTIONIST,əˈbɔrʃənɪst,əˈbɔrʃənɪst,0,
ABORTIONISTS,"əˈbɔrʃənɪsts, əˈbɔrʃənɪs","əˈbɔrʃənɪsts, əˈbɔrʃənɪs",2,"ルール1: , + -> ,; ルール2: ,([^\s]) -> , \1"
ABORTIONS,əˈbɔrʃənz,əˈbɔrʃənz,0,
ABORTIVE,əˈbɔrtɪv,əˈbɔrtɪv,0,
ABORTS,əˈbɔrts,əˈbɔrts,0,
ABOTT,əˈbɑːt,əˈbɑːt,0,
